0 286.688
1 243.448
2 197.106
3 128.204
4 98.8043
5 85.3994
6 77.6359
7 74.1683
8 72.1265
9 76.999
10 83.2064
11 87.2191
12 90.1191
13 94.454
14 95.7767
15 97.6644
16 94.7849
17 96.6867
18 97.7965
19 97.4629
20 100.06
21 98.6745
22 100.758
23 139.791
24 213.988
25 286.719
26 309.96
27 313.814
28 318.691
29 309.183
30 303.739
31 297.573
32 293.051
33 286.609
34 286.635
35 279.179
36 279.858
37 277.651
38 276.927
39 277.252
40 271.869
41 269.504
42 267.237
43 227.436
44 227.436
45 227.436
46 227.436
47 227.436
48 227.436
49 227.436
50 227.436
51 227.436
52 227.436
53 227.436
54 227.436
55 227.436
56 227.436
57 227.436
58 227.436
59 227.436
60 227.436
61 227.436
62 227.436
63 227.436
